Location,Name,Weights,GICS_Tag
0,租赁和商务服务业,0.5729438610950415,Industrials
0,住宿和餐饮业,0.2842934166207524,Consumer Discretionary
0,农、林、牧、渔业,0.0812691681270356,
0,房地产业,0.061454512861276,Real Estate
0,卫生和社会工作,5.384850171103721e-05,Health Care
1,租赁和商务服务业,0.572774403932418,Industrials
1,住宿和餐饮业,0.2844652584106586,Consumer Discretionary
1,农、林、牧、渔业,0.0812910362873722,
1,房地产业,0.0614309012669825,Real Estate
1,卫生和社会工作,5.318025421826333e-05,Health Care
2,租赁和商务服务业,0.5728514048077074,Industrials
2,住宿和餐饮业,0.28435994014588,Consumer Discretionary
2,农、林、牧、渔业,0.0812834919760479,
2,房地产业,0.0614629177572607,Real Estate
2,卫生和社会工作,5.7053724409737183e-05,Health Care
3,租赁和商务服务业,0.5721201001731928,Industrials
3,住宿和餐饮业,0.2847202486002725,Consumer Discretionary
3,农、林、牧、渔业,0.0822997091190718,
3,房地产业,0.0608714739126029,Real Estate
3,建筑业,1.4993258878511755e-06,Industrials
4,租赁和商务服务业,0.5729179885432849,Industrials
4,住宿和餐饮业,0.2843910859686829,Consumer Discretionary
4,农、林、牧、渔业,0.0812505776740209,
4,房地产业,0.0614002859198082,Real Estate
4,卫生和社会工作,5.487931246215854e-05,Health Care
