"ID","InnerCode","InfoPublDate","ReportDate","InvestType","IndustryCode","IndustryName","MarketValue","RatioInNV","XGRQ","JSID","InduStandard","InduDiscCode","TransCode","InsertTime"
"613135095128","225768","6/6/2019 00:00:00","4/6/2019 00:00:00","3","10001","行业投资合计","3705059","0.0133","24/6/2022 02:24:56","709361878063","22",,"225768","6/6/2019 11:17:08"
"613135095130","225768","6/6/2019 00:00:00","4/6/2019 00:00:00","3","13000","制造业","3531931","0.0127","24/6/2022 02:24:56","709361878065","22","C","225768","6/6/2019 11:17:06"
"613135094705","225768","6/6/2019 00:00:00","4/6/2019 00:00:00","3","15000","建筑业","28768","0.0001","24/6/2022 02:24:56","709361878067","22","E","225768","6/6/2019 11:17:07"
"613135095110","225768","6/6/2019 00:00:00","4/6/2019 00:00:00","3","19000","信息传输、软件和信息技术服务业","144360","0.0005","24/6/2022 02:24:56","709361878069","22","I","225768","6/6/2019 11:17:07"
"625159389461","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","2","10001","行业投资合计","843047.09","0.0006","25/6/2022 12:36:37","709475807034","22",,"225768","23/10/2019 15:18:45"
"625159389519","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","2","13000","制造业","619917.69","0.0004","25/6/2022 12:36:37","709475807035","22","C","225768","23/10/2019 15:18:44"
"625159389593","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","2","19000","信息传输、软件和信息技术服务业","223129.4","0.0002","25/6/2022 12:36:37","709475807036","22","I","225768","23/10/2019 15:18:45"
"625159389455","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","3","10001","行业投资合计","1431794003.1","0.9896","25/6/2022 12:36:37","709475807037","22",,"225768","23/10/2019 15:18:47"
"625159389493","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","3","13000","制造业","1385218327.1","0.9574","25/6/2022 12:36:37","709475807038","22","C","225768","23/10/2019 15:18:45"
"625159389541","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","3","15000","建筑业","7057072","0.0049","25/6/2022 12:36:37","709475807039","22","E","225768","23/10/2019 15:18:46"
"625159389583","225768","23/10/2019 00:00:00","30/9/2019 00:00:00","3","19000","信息传输、软件和信息技术服务业","39518604","0.0273","25/6/2022 12:36:37","709475807040","22","I","225768","23/10/2019 15:18:46"
"632592786420","225768","17/1/2020 00:00:00","31/12/2019 00:00:00","2","10001","行业投资合计","1834178.32","0.0006","7/7/2022 02:20:32","710484111557","22",,"225768","17/1/2020 16:10:19"
